cik,json_transcriptid,companyid,date,qid,question,answer,q_char_len,a_char_len,qa_char_len,q_word_len,a_word_len,qa_word_len
0000002098,444540,247812,2013-04-19,24,"Okay two others, one is, what’s the status of Fiskars these days in the scissor business?","Well Fiskars has, as some of you may know, is a really quality company based in Finland, it’s publically traded and they have got lots of different divisions. They’ve been lately for example in the last two years moving into housewares. They just brought Royal Copenhagen which they are marketing as a premium product into department stores. They have the Gerber knives which are excellent and they do well, especially the multi-tools.
In the scissor area, we pretty much ripped them out of most of the office channel. They still sell kid scissors. They sell some craft scissors particularly at Joann Fabrics but they’re not the competitor they once were in that areas. On the other hand, knives, Bear Grylls has endorsed their survival tools and knives and similar to Les Stroud, has a large following. They’re a very, very good company and they compete head to head with us. As I said we've ripped them out of most of the office channel and a lot of the mass.",89,961,1050,16,169,185
0000002098,591941,247812,2014-02-26,15,"Got it. And then on Amazon, and I'm just curious if you have any -- you see any conflict there, the way other consumer products companies do, where stuff shows up on the Amazon and undercuts their own sales channels or if they're partner of yours?","Well, Amazon is a customer, and it's a very growing customer. They don't get any special pricing relative to any of our other big customers. They have a very, very deep product mix of our offering, with images and pricing, and that becomes available online. But you find the same thing with Staples and Wal-Mart, and others that are online. I would suggest though that Amazon is a very active marketplace and for whatever reason, it attracts our products from sources that we have no idea where they come from. And we're quite happy with that because it's another way to sell more. Well, if there are no further questions, then this call is complete. I'd like to thank you for joining us. Goodbye.",247,697,944,46,124,170
0000002098,773293,247812,2015-02-26,18,Any changes in shipping costs that are material?,"Well, the shipping costs are not so material as changes are. What has been a very big hassle is the U.S. workers in the Long Beach and L.A. ports, and the reason there is just continue the work down and bickering about wanting more money. We haven't used the L.A. ports very much for the past several years and we shipped through the Panama Canal and then over to Norfolk, Virginia. But we did get hung up with some CUDA items outside of Long Beach at Christmas that we might have been able to ship this year, but [indiscernible] 2014. It's not cost so much, it's just workers that don't want to work.",48,601,649,8,113,121
0000002098,1058715,247812,2016-10-20,15,"Got it. Okay. And then kind of a -- bit of an off-the-wall question, but the -- as Scotts Miracle-Gro has become something of a marijuana play because they're selling fertilizers and stuff, Miracle-Gro, to that crew. Is there anything in the cutting side, that you find that all of a sudden is being sold in weird places to people you didn't expect that might suddenly make a difference down the road or not?",We'll do a couple of hundred thousand dollars this year probably to marijuana distributors. They love the nonstick herb scissors that we have...,408,144,552,74,23,97
0000002098,1563747,247812,2018-02-27,8,"With hunting and fishing, the hurricanes hurt your sales there. Do you have any easy comparisons coming up because of that? And do you see strength returning to those areas? Or was that just a onetime blip down in the second half of last year?","Well, the Cuda fishing line continues to be gaining share, and that's not only at -- for saltwater but now for fresh water and into Canada. And we've put in -- hired a person for social media to cover fishing tournaments with the sponsors. There's a few of them. We've got one coming up in a couple of weeks in Florida. The fishing pros are actively working for us, and we've got about 10 of them. And it's bearing fruit. And in the first quarter, which is traditionally where you begin to sell a lot of the fishing tools, were stronger than last year now. In the hunting area, we've gained a fair amount of new business for 2018, both under the branded -- from those lines as well as a private label program for one of the large retailers. So it will -- there'll be some good comparisons for hunting and fishing regardless of whether we had some storms. It's just -- the business is stronger.",243,893,1136,45,167,212
0000002098,1708777,247812,2019-02-28,7,"Paul, what tax rate is implicit in the guidance this year? Predicting tax rates is not something I'd like to have to do.","Okay. It's 22%, Dick.",120,21,141,23,4,27
0000002098,2661231,247812,2022-10-21,4,"At a guess, what if -- your inventories are up 36%. What proportion of that is price? And what's units?","So Dick, it's approximately evenly split between what we would increase for growth, the cost and the safety stock that we put in place for potential supply chain disruptions.",103,174,277,20,29,49
0000002491,408895,310240,2013-01-31,3,"And not to get greedy from there, but is this an area where several quarters out, we can still see further improvement?","Yes, I think from our vantage point, we have a long way to go in a lot of high-margin areas. Conversion kits comes to mind. And, frankly, we can do a lot better once we ramp up international sales to do a better job from a margin standpoint there, so -- but I would say, in the near term, look for that 50% margin, mid to longer term, certainly, we can expand beyond there.",119,373,492,22,74,96
0000002809,673420,248095,2014-07-31,25,Okay. And that's because what? because grades are going to go up when you get the finance down or...,"On a unit cost basis, less stripping.",100,37,137,19,7,26
0000002809,802230,248095,2015-05-01,2,"Okay. [indiscernible] a question about [indiscernible] on Amaruq. Obviously, we're getting up to there in mid year, and we're going to go up there hopefully in August. But when you look at and look at your guidance at Meadowbank, it obviously comes off in 2017, and this obviously looks very positive. Can you just talk about the strategy maybe as much as you can? I mean, what are the headwinds here? Obviously, the transport and you're trying to get the permits there. What's the strip like of the area and what are the sort of, I'd say, key issues that we should be sort of focusing on? This can't sort of be delivered in 2017 and fill that gap.","Yes, there's a few things there. And so the focus right now is not just on drilling, but it's also on probably have a couple dozen people that will be there in the summer and are there doing baseline work. So we're always sort of thinking and preparing earlier than you otherwise would. And what we contemplate there is certainly a road. We know the location of the road. The road would be about 62 kilometers long. We would be mining an open pit to start at Amaruq. We have to put up a dam, so we have to dewater a part of the lake. So all of those things are things that we do currently and have done at Meadowbank. So we're not really asking the authorities to allow us to do something that we haven't otherwise done. But in order to do that and to stay on track, we will have to put a pin in it at some point this year. And we have new purpose for the updated resource, and then we'll turn it over to the engineering guys, and they'll design a pit. Right now, they've done some sort of preliminary work. But it was really done on 2 pits because we didn't have the gap drilled off. So it's too early to say what the strip ratio would be. Is it Meadowbank-like or a little bit higher than Meadowbank? Those are sort of the general range. But I think what we've got is we've got something with at least the initial resource. Something that's, at this point, sort of half the size of Meadowbank in terms of total ounces at double the grade, and so we expect that 1.4 million ounces to grow based on the results we've got so far. And we'll continue to tighten up that spacing. As we said, this has got lots of strike length, the potential, the mineralization is very continuous. The rock quality is extremely good. So we expect it to get bigger. So it'll be a bigger number. When we were up there sort of a year ago, our guys were saying that from an operating standpoint to the exploration team, we'd need about a million ounces at 5 grams. So we've already passed that hurdle. Now in terms of timing, if you actually take, and we've been saying this for the last few months, if you actually take the Meliadine permitting time line, and that may or may not be appropriate, but if you apply that, and Meliadine is a bit more complicated because where Meliadine is building a plant, et cetera, you'd be looking at Amaruq sometime in the second half of 2019. And so we can push out Meadowbank to later in 2018 and then start to work from the Amaruq end and  hopefully move that forward. The objective is to eliminate that production gap. And we've been very clear with the regulators and people that would be involved in reviewing what we would be proposing at Amaruq. And it's essentially the same groups and the same people we've worked with on Meadowbank and Meliadine. We have made that known to them that the time line is largely driven by the resources that the authorities can bring to the table to review. And so the federal government has just put more money into the Nunavur Impact Review Board to actually boost those resources at that board and maybe that will help accelerate the timeline. But we see a couple of things, we see more resources on the other side. We've offered ad resources if they need it, to help with that review process. But we're also seeing a project that is less complex than Meliadine. And as we said, we're not asking for -- to do something that we haven't been able to do up there in the past. And I think this is a good point to make is that our experience in Nunavut in terms of getting things done has actually been quite good. And it's not a part of the world where they're adversarial with respect to mining. In fact, I would say they're positive towards mining. They want to understand the impacts of mining but generally are positive because of the economic impact that it has there, and Meadowbank has been a great example of that. And this morning at the Annual Meeting, we'll have the premier of Nunavut there. He's in town and so -- the government in Nunavut is a big supporter of Agnico and Nunavut, so is the federal government and the local community. So we've got all the support we need to keep moving our business forward. We just see it as a great platform with tons of mineral potential and also a place to do business. And I think the industry is challenged to find these types of places. So we're fortunate to have them.",648,4376,5024,119,820,939
0000002809,907538,248095,2015-10-29,19,I know. I didn't know who to ask about that.,"Yes, I'll deal with that. It will be underground. There's several hundred thousand ounces of resource that have been there for the longest time. It never made sense because it didn't make sense to potentially crowd out other more highly valued tonnage in the region coming from Lapa, but it may make sense as an incremental addition to the LaRonde complex. We haven't decided one way or the other what we're going to do. We have identified that as an opportunity, and our project development group in our northern business is working on that right now. We've had studies that have been done over the last sort of 5 years to 10 years on that issue, so it's more of sort of updating that work. And it'll still take us a few quarters to get that work done to decide whether it makes sense for us.",44,793,837,10,146,156
0000002809,1136668,248095,2017-02-16,35,Okay. Could you remind me just how the grade there compares to the main pit? And what's the strip ratio of it looks like?,"Strip ratios are quite similar on the life of mine basis. Grade is 3% or 4% higher, I believe.",121,94,215,24,19,43
0000002809,1212661,248095,2017-05-17,12,"And I can't stop at Canadian Malartic without asking about Odyssey because to me that seems to be, obviously, long-term optionality there.","Well, one of the things that back in 2014, when the opportunity was there to become involved at Canadian Malartic was the fact that it had this exploration potential around Odyssey. And to us, with our experience just down the road at Goldex, we could see some similarities in terms of mineralized thicknesses with slightly better grades. So it presented an opportunity in our mind that if we can outline some significant mineralization then we can employ some of the techniques that we're currently using just down the road for cost-effective mining of sizable widths underground. We're making a lot of money at Goldex, and we're mining 1.6 grams per tonne in an underground mine.",138,681,819,22,115,137
0000002809,1441876,248095,2018-04-27,8,"You mentioned new technology in Zone 5, which might be applied to LaRonde later. I just wondered, which you were looking at. Was this automation or something else?","Yes, I think, the -- we've purchased our fleet of equipment underground. We were originally looking at going with used equipment in certain sectors. And we've decided that we had the perfect lab setting to test more autonomous equipment, both on the loading and then on the trucking side. So we're going to use our LaRonde Zone 5 sector to identify how robust this with the LTE technology. How we could adopt it further as we continue to design mining sequence at LaRonde. And we will sort of benchmark that going forward as how we would think perhaps of mining below 3.1, for example.",163,585,748,28,104,132
0000002809,2574988,248095,2022-05-17,1,"Well, where I'd like to start off is strategy. So -- well, first of all, congratulations on the new position. But in terms of strategy, it is still relatively early days, but should investors expect the strategy to change in any way from where it's been for the last several years? .","Well, strategy always evolves a little over time, but the core strategy at Agnico, which has built this company, is going to continue. And the strategy that we've had over 60 years really has 3 main components. One is per share focus. We've always been focused on production per share, cash flow per share, earnings per share, and that's really differentiated us. It served us well and we're going to continue that per share focus. 
The second thing is the jurisdictions we're in. We consider ourselves more of regional gold company rather than global. And by regional, I mean, we go into regions in the world that meet 2 criteria. They have to have the geologic potential for multiple mines for multiple decades. And importantly, Lawson, you have to be able to actually operate multiple mines for multiple decades, which means political stability. 
So -- we're only in regions where we know we can operate for decades and where we can build a competitive advantage. And the third component of that strategy, which has served us well and we're going to continue with, is creating value through the drill bit. In the gold industry and in any mining industry, there's really only 3 ways to create value. One is by finding gold in the ground, two, you convert that gold in the ground to cash above ground, and three are -- and it's much rarer, smart M&A deals. We really believe in the first 2. That's who we are, and that's how we've created value.",283,1446,1729,52,255,307
0000002809,2591543,248095,2022-06-21,1,"Sure. Thank you, Carol. So do you want to try the phone line first to see if there's anyone who ask the question? No. Okay. So I will -- I'll begin. And please, if you'd like to ask a question, again, you can e-mail myself, anita.soni@cibc.com, and I will ask a question. [Operator Instructions] 
So firstly, could you talk about the alignment between Kirkland and Agnico in terms of ESG reporting and how you guys address that? What processes did you have to go through to when you're basically combining the 2 companies and trying to show the performance of each company? What -- where were you different and what was already aligned?","Sure. So Agnico, we've been reporting into the GRI since about 2009, and we started reporting in to SASB as well in 2020. I think it was the first year we put into SASB. The majority of our reporting is aligned with our commitment -- our commitment towards sustainable mining, our commitment to the [ RTMP ], our commitment to the voluntary principles, our commitment also to the finite code and so on. And one of the things that we like when we were looking at the ESG side of the potential merger was that Kirkland Lake Gold had joined the World Gold Council and they had joined the Mining Association of Canada. So they were already tracking to responding to the same protocols, the same items as we are for each of those various commitments. 
So certainly, there's minor differences in the way things are measured, and I think you'll see in the report, there are places where we're reporting slightly different definitions of things where that is the case, that is highlighted so that people can understand the difference. Vast majority, I would say, we're very well aligned on how things are calculated and how things are put together. And I think our team did a pretty fantastic job managing and pull together data from both Kirkland Lake Gold legacy sites and Agnico Eagle Gold sites and put it all into a cohesive story within a few months of having the merger completed.",636,1379,2015,113,245,358
0000002969,558191,248356,2013-12-03,2,"And then just one other question. You talked a little bit upfront about emerging markets being a growth opportunity. Can you just quantify what your total exposure is to the emerging markets across the various service lines today? And a lot of discussion, obviously, about the outlook for emerging markets generally. Any thoughts that you could share on the markets that are particularly important to you, what you think 2014 would look like?","Yes. So we would say, today, our mix is somewhere around 40% U.S., 25% to 28% Europe and the rest pretty much emerging markets. And then you can back into it and cut a country here and there in a different category. But the remainder, frankly, 30%, 30% plus, really exposed to emerging markets. They vary. They're Asia, they're Latin America. And then they are JVs, which really aren't in that mix. But as you saw on that one slide, many of the JVs are in emerging markets. The beauty and the opportunity in those markets is the industrial gas intensity is about 1/10 of what the industrial gas intensity is in sort of Western Europe, United States, and so significant opportunity. As those industries improve, as they want to improve the quality of their products, the productivity of their manufacturing process, compete more globally, industrial gases are one of the great solutions that really allow those companies to achieve that.",442,936,1378,73,161,234
0000002969,766905,248356,2015-02-19,11,"Fair enough. And then maybe broader question on kind of the M&A. If you look historically when things like swaps have been able to happen, you can look back there was a nice swap between Turkey and Mexico a number of years ago. Those have generally been good for the participants who did it and for the industry. As you've come in, does that look like something that we, as investors, should think about as being plausible over the next call it 2, 3, 4-year period to actually improve the industry maybe in some of these areas where we have lower operating rates? Or is that with government regulation and stuff like that just too difficult to really do on a sizable scale to move the needle?",It's too difficult. I think there are little things that might be able to have done. But it's easy to sit down on a piece of paper and say they can give this and order that. But the regulators are there and I don't think any big thing is going to happen.,692,254,946,127,52,179
0000002969,787639,248356,2015-03-31,4,"Bill Cross, Eaton Vance. You talked about EBITDA as a target, but I don't think I heard anything about ROCE as a target at the local level -- at the subregion level. Can you talk about how you're threading in some sensitivity to capital, maybe not quite as much as you had already, given the example of empties [ph] not being efficiently dealt with.","Yes. So maybe 2 things there is, number one, like that example of the empties [ph], like there's -- and the answer is yes, and the answer is there's a lot of small opportunities like that. No one alone is going to do it, but it's out there for us. So our incentive plan is crystal clear. It's simple. There's a single EBITDA number. But for us and for the general managers, when we look at the subregions, when we do our monthly reviews of performance, we absolutely return -- look at return on investment. We certainly look at return on investment on any new investment. So I mean, there has to be that balance, and there is in our internal reviews and business evaluations.",349,675,1024,64,125,189
0000002969,800133,248356,2015-04-30,6,"And then because it's kind of a cost -- a fixed-cost structure, did you get some margin help this quarter? And if so, how much versus kind of a sales line coming down?","Yes, are you referring to our HyCO business? Or are you referring on our business in general?",167,93,260,33,17,50
0000002969,800133,248356,2015-04-30,25,"Just a quick one. I just want to -- you spoke a little bit about how the Q4 outlook is implied as being a significant step-up. It looks to be about a 7 20 annualized run rate. Over the last 7, 8 years, Air Products pretty consistently delivered annual results, $0.10 to $0.20 above the prior Q4 run rates. So does that mean that you're baseline for thinking about 2016 is really somewhere north of 7 40, 7 50? It looks like the new Air Products should be more nimble than it was over the last 5 or 6 years. Or are there some offsets for next year that we should be thinking about?","Well, it will be difficult for me at this stage to speculate about 2016. I'm sure you understand with all of the moving parts that there is in the world, it would be difficult to do that. But the way you are doing the math, if nothing else changes, that's one way of coming to some kind of numbers. But I cannot really comment on that.
Okay. We have -- I would just like to -- before we go away, thanks again for your questions. Thank you for being on the call, and we look forward to talking to you in the near future.
Thank you very much.",580,540,1120,114,108,222
0000002969,947137,248356,2016-03-03,3,"Now that you've changed the organizational structure and you've put in this compensation program, what are the next key drivers that you see as driving that 1.5 percentage point increase in EBITDA margin?","Yes. Well, I think what has happened is that now that we have broken down to -- the organization into smaller parts, you have a gentleman or a lady who is in charge of a small part of the company, Korea, Spain, Germany, okay? Now those people, they have eliminated the overhead structure. That has given us the $300 million of cost savings. Now those individuals, we are asking them that okay, now within your empire, you start focusing on how do you improve distribution costs, how do you improve power consumption, how do you improve local overhead and people overhead. Those are the areas that now those people can focus on. They don't need somebody sitting in Allentown telling them what to do. They have -- we have given them the organization and the empowerment that they are like a mini Air Products. And they -- each one of them -- my ideal thing is, and I tell the people, is that they have 20,000 CEOs and everybody comes to work and looks how can they do things better. So these people now are very much focused on it. And to be even more specific, we have taken the so-called $300 million additional savings that we want in the 4 years and we have broken it down into pieces and given that to each one of these business units and said, this is what you need to do this year, this is what you need to do next year and this is what you need to do after that. But now that the organization is decentralized, instead of having one person as a CEO of the company looking after trying to find savings, we are 43 CEOs for sure and hopefully they break it down into the next level and the next level. Okay?
Yes?",204,1615,1819,33,306,339
0000002969,949730,248356,2016-03-09,11,"So I just want to ask a couple of questions you may have already answered before I came in. The first question is, is there anything surprising on the good side going on? I'm not talking from the economy. In other words, Praxair is saying that steel prices have strengthened, steel industry has strengthened a little bit because of the what do you call, the tariffs have been put on. Have you seen similar things with your company that you are benefiting from U.S. tariffs imposed on steel? Have you seen anything like that? Or anything else either in the United States or abroad that you say, ""Wow that's -- I didn't expect that. That's good."" Or conversely, have you seen anything and say, ""Holy schmoley, this is bad idea?""","I have to say no because, I mean, the position on the tariffs. So the United States puts down tariffs, and that helps the U.S. steel industry. But we are supplying a steel company in China that will come at the expense of that steel company. We are a global company. So I'm all for global trade, and this trade barrier is actually [indiscernible].",726,347,1073,130,64,194
0000002969,1017196,248356,2016-07-28,17,"Once you become a pure-play industrial gas company, your on-site exposure will be significantly higher than the industry. Do you think that's the right mix going forward? Or would you prefer to have even greater on-site exposure? And how might that affect the overall volatility of your long-term cash flows?","We believe very strongly that the bigger portion of your business being on-site is a very good thing. And once we become pure play about -- approximately probably 51% -- 55% of our sales will be on-site business, which is higher than anybody else, and we will do everything to expand that. That is where we can get large projects contributing a steady cash flow to the business. That's a lot better than going buying companies that sell building blocks.",308,453,761,50,80,130
0000002969,1064582,248356,2016-10-27,22,Question on your FX assumptions within your guidance. Currency was a $0.16 drag in fiscal '16. You've got some sterling exposure. Just wondering what kind of a headwind you're assuming in your '17 guidance?,"I think the number is about $0.05, but the expert on this is Scott. So Scott? Yes. That's a tall order, Seifi. So just to remind everybody how we look at currency. We don't try to speculate. We take that latest rates and we just project that forward. So when we do that from where we are today into '17 and then compare full year '17 against '16, we'd have a headwind of about $0.05 to $0.10. That's for the full year. And then on a quarter basis, we do the same approach, just move things sideways. We would have in the first quarter, both sequentially as well as versus prior year in Q1, about a $0.01 to $0.02 headwind, principally driven by the pound.",206,655,861,34,125,159
0000002969,1375342,248356,2018-01-26,1,"Seifi, just on the India syngas project, are there any metrics you can share with us on that project?",Sorry. Did you say are there any...,101,35,136,19,7,26
0000002969,1375342,248356,2018-01-26,23,"With regard to the cold weather along the U.S. Gulf Coast, do you expect that to be good, bad or neutral to your results in the fiscal second quarter? Just trying to think about the net effect of power cost versus any customer outages that you see.","Thank you, Kevin, for the question. Corning will answer that. Kevin, I think when we have a disruption in the market, it's never a positive for us. But I would just say, the guidance that we have given reflects our expectations for the quarter, including what's happened in terms of weather. Thank you.",248,302,550,47,53,100
0000002969,1516502,248356,2018-07-26,14,"Great. And you've also been successful in establishing a portfolio, which lends itself to the onsite utility-type model. Can you sort of remind us of your longer-term goals in terms of projected earnings stability just with any details or consideration for both the composition of your backlog and projected capital deployment?","Sure, Chris. Obviously, if you go on my wish list, I hope that 5 years from now, 75% of our business is onsite. And I think that will probably happen with the way that we are deploying the capital. Our base business, merchant business and packaged gases business will continue to grow. We are not growing more onsite at the expense of that business. But that business, which is our liquid business and our packaged gases business is going to grow with global GDP, 2%, 2.5%, 3%, 3.5% a year. But our ambitions are significantly higher than that. We want to grow the company by more than 10%, as we have done in the past 4 years. That means that by default, although our base business is not -- is continuing to grow, our onsite business will grow faster, therefore, when you put it all together, hopefully by 2023, 75% of Air Products business will be onsite, which will be very stable and very profitable in terms of not only margins, but also in terms of internal capital employed.",327,982,1309,51,179,230
