json_transcriptid,companyid,date,assigned_cik,is_clean1,n_components_total
423747,171947,2013-02-26,0000018396,True,43
426758,247812,2013-02-28,0000002098,True,32
427943,176102,2013-03-05,0000035214,True,7
432147,32650,2013-03-12,0000006885,True,80
436216,286237,2013-03-21,0000016099,True,7
436730,261326,2013-03-21,0000020740,True,50
444535,260583,2013-04-19,0000019584,True,50
444930,334498,2013-04-19,0000030302,True,26
445783,263171,2013-04-23,0000023111,True,99
449080,171649,2013-04-25,0000014930,True,69
449357,267799,2013-04-26,0000030828,True,54
449502,176102,2013-04-25,0000035214,True,81
449917,258010,2013-04-24,0000026058,True,56
451760,273729,2013-04-30,0000038725,True,24
452836,28606,2013-05-01,0000037785,True,70
454437,259280,2013-05-02,0000018169,True,73
455673,267739,2013-05-02,0000030822,True,66
456401,174004,2013-05-01,0000025212,True,7
456588,253076,2013-05-03,0000009326,True,47
457501,248450,2013-05-06,0000003453,True,44
467276,32650,2013-05-17,0000006885,True,57
468241,258458,2013-05-20,0000016732,True,66
477325,286237,2013-06-13,0000016099,True,28
478704,265087,2013-06-19,0000025895,True,101
480857,252588,2013-06-28,0000008947,True,100
485298,174901,2013-07-18,0000029905,True,118
486743,252978,2013-07-23,0000008818,True,45
486757,258010,2013-07-23,0000026058,True,29
491882,173840,2013-07-30,0000024741,True,91
492190,28606,2013-07-30,0000037785,True,61
492254,273729,2013-07-30,0000038725,True,36
493923,249841,2013-07-31,0000004447,True,111
494641,253076,2013-07-31,0000009326,True,46
495266,176102,2013-08-01,0000035214,True,48
496168,171604,2013-08-02,0000015615,True,72
498858,174004,2013-08-01,0000025212,True,7
502232,248450,2013-08-07,0000003453,True,8
505274,273056,2013-08-15,0000037472,True,6
505706,310240,2013-08-15,0000002491,True,65
506851,32650,2013-08-22,0000006885,True,91
510060,251995,2013-08-30,0000008146,True,54
520096,251050,2013-09-19,0000006845,True,42
520592,261326,2013-09-19,0000020740,True,57
523625,273981,2013-09-26,0000039368,True,82
528244,273056,2013-10-16,0000037472,True,9
528963,253478,2013-10-17,0000009092,True,62
536015,258010,2013-10-29,0000026058,True,51
536290,28606,2013-10-29,0000037785,True,62
537120,273729,2013-10-30,0000038725,True,22
537596,249841,2013-10-30,0000004447,True,92
537905,173840,2013-10-30,0000024741,True,87
540390,265386,2013-10-31,0000026324,True,60
543868,253076,2013-11-05,0000009326,True,34
555106,32650,2013-11-21,0000006885,True,86
555330,174004,2013-11-21,0000025212,True,7
557155,251995,2013-11-27,0000008146,True,79
560096,265154,2013-12-05,0000026076,True,28
564110,251050,2013-12-19,0000006845,True,69
569641,174004,2014-01-21,0000025212,True,23
571189,266430,2014-01-23,0000027996,True,38
572373,173840,2014-01-28,0000024741,True,79
573541,249841,2014-01-29,0000004447,True,50
580015,247371,2014-02-07,0000002034,True,31
587318,273729,2014-02-19,0000038725,True,52
591687,171947,2014-02-26,0000018396,True,29
594669,253076,2014-02-27,0000009326,True,47
604800,274715,2014-03-19,0000040704,True,65
605072,261326,2014-03-20,0000020740,True,49
611942,247812,2014-04-17,0000002098,True,24
612207,273056,2014-04-17,0000037472,True,6
613410,263171,2014-04-22,0000023111,True,50
615034,255132,2014-04-24,0000011199,True,64
615862,176102,2014-04-24,0000035214,True,64
617628,173840,2014-04-28,0000024741,True,84
617855,267761,2014-04-28,0000030305,True,69
618752,258010,2014-04-29,0000026058,True,27
619220,273729,2014-04-29,0000038725,True,53
620703,260583,2014-04-30,0000019584,True,7
624600,265386,2014-05-01,0000026324,True,53
626428,253076,2014-05-05,0000009326,True,43
627253,171947,2014-05-07,0000018396,True,18
627776,174004,2014-05-07,0000025212,True,22
632744,265154,2014-05-12,0000026076,True,46
636958,267092,2014-05-15,0000029834,True,23
644839,345588,2014-05-29,0000004457,True,52
652682,265087,2014-06-18,0000025895,True,19
653135,261326,2014-06-19,0000020740,True,60
654363,251050,2014-06-25,0000006845,True,29
655132,268053,2014-06-26,0000030554,True,46
657506,266430,2014-04-24,0000027996,True,30
660905,263171,2014-07-22,0000023111,True,91
660921,268053,2014-07-22,0000030554,True,65
662859,266430,2014-07-24,0000027996,True,33
664687,247812,2014-07-24,0000002098,True,41
666442,258010,2014-07-29,0000026058,True,66
666864,273729,2014-07-28,0000038725,True,52
667075,173840,2014-07-29,0000024741,True,95
669049,265386,2014-07-31,0000026324,True,15
669429,176102,2014-07-31,0000035214,True,48
673302,265154,2014-08-04,0000026076,True,57
675673,171947,2014-08-06,0000018396,True,25
676026,174004,2014-08-06,0000025212,True,23
678964,253076,2014-08-08,0000009326,True,61
682826,265087,2014-08-13,0000025895,True,22
684106,256523,2014-08-14,0000014195,True,58
684323,267092,2014-08-15,0000029834,True,5
685432,273056,2014-08-20,0000037472,True,28
691018,247371,2014-09-05,0000002034,True,50
696615,251050,2014-09-17,0000006845,True,47
697125,261326,2014-09-18,0000020740,True,65
703719,273056,2014-10-15,0000037472,True,29
704729,256523,2014-10-16,0000014195,True,61
708333,266430,2014-10-23,0000027996,True,31
711972,176102,2014-10-28,0000035214,True,72
713246,273729,2014-10-29,0000038725,True,46
714647,248356,2014-10-30,0000002969,True,76
714885,265386,2014-10-30,0000026324,True,46
715419,260619,2014-10-30,0000020212,True,24
726718,253076,2014-11-10,0000009326,True,73
734098,174004,2014-11-20,0000025212,True,12
735424,265154,2014-11-25,0000026076,True,34
735606,251995,2014-11-26,0000008146,True,86
742307,286237,2014-12-18,0000016099,True,8
742316,251258,2014-12-18,0000006955,True,75
746351,261326,2015-01-15,0000020740,True,91
748200,256523,2015-01-22,0000014195,True,46
748469,266430,2015-01-22,0000027996,True,49
749499,173840,2015-01-27,0000024741,True,85
749612,268053,2015-01-27,0000030554,True,52
751930,255132,2015-01-29,0000011199,True,96
752863,249841,2015-01-28,0000004447,True,104
757034,247371,2015-02-06,0000002034,True,25
757477,258010,2015-02-06,0000026058,True,49
760041,265087,2015-02-11,0000025895,True,27
768507,263171,2015-02-24,0000023111,True,15
769173,253076,2015-02-24,0000009326,True,97
771677,176102,2015-02-26,0000035214,True,60
772163,270566,2015-02-05,0000034563,True,59
773293,247812,2015-02-26,0000002098,True,53
774546,270566,2014-11-06,0000034563,True,22
775646,32650,2015-03-03,0000006885,True,99
781986,258133,2015-03-12,0000019446,True,28
784694,261326,2015-03-19,0000020740,True,65
790211,247812,2015-04-17,0000002098,True,22
793426,43182327,2015-04-23,0000036047,True,67
794837,256523,2015-04-24,0000014195,True,40
795909,258010,2015-04-28,0000026058,True,64
796651,273729,2015-04-28,0000038725,True,56
796723,263171,2015-04-28,0000023111,True,44
799405,176102,2015-04-30,0000035214,True,65
799648,265386,2015-04-30,0000026324,True,57
800133,248356,2015-04-30,0000002969,True,84
803093,262125,2015-04-30,0000021535,True,26
804153,253076,2015-05-05,0000009326,True,71
808658,247371,2015-05-08,0000002034,True,44
811530,250710,2015-05-11,0000005768,True,47
812433,171604,2015-05-12,0000015615,True,71
817903,265154,2015-05-18,0000026076,True,38
824302,23557,2015-06-03,0000030697,True,54
829188,265087,2015-06-12,0000025895,True,26
830158,261326,2015-06-18,0000020740,True,64
831189,251050,2015-06-25,0000006845,True,55
837890,266430,2015-07-23,0000027996,True,51
838905,260583,2015-07-24,0000019584,True,13
840261,268053,2015-07-28,0000030554,True,70
840451,263171,2015-07-28,0000023111,True,47
840614,258010,2015-07-28,0000026058,True,78
840665,273729,2015-07-28,0000038725,True,50
848274,251704,2015-08-04,0000007084,True,54
848549,253076,2015-08-04,0000009326,True,28
851788,265154,2015-08-06,0000026076,True,18
860579,171604,2015-08-18,0000015615,True,42
862518,256523,2015-08-13,0000014195,True,44
863837,32650,2015-08-20,0000006885,True,68
866331,270566,2015-09-09,0000034563,True,13
867506,273673,2015-09-10,0000039020,True,90
870934,251050,2015-09-17,0000006845,True,51
872721,251411,2015-08-18,0000006281,True,89
874815,268053,2015-10-05,0000030554,True,34
883119,263171,2015-10-27,0000023111,True,52
883181,258010,2015-10-27,0000026058,True,73
886075,28606,2015-10-29,0000037785,True,43
887251,256523,2015-10-30,0000014195,True,30
890446,253076,2015-11-03,0000009326,True,68
893015,273729,2015-10-27,0000038725,True,54
895172,247371,2015-11-06,0000002034,True,40
898132,27868,2015-11-05,0000031347,True,22
908265,265154,2015-11-24,0000026076,True,52
914964,251050,2015-12-17,0000006845,True,56
918757,261326,2016-01-14,0000020740,True,74
920011,256523,2016-01-21,0000014195,True,53
927996,247371,2016-02-05,0000002034,True,53
928149,253478,2016-02-05,0000009092,True,66
928544,258010,2016-02-08,0000026058,True,70
929668,265087,2016-02-09,0000025895,True,31
932243,28606,2016-02-11,0000037785,True,73
935748,260583,2016-02-18,0000019584,True,25
938078,263171,2016-02-23,0000023111,True,26
938435,273729,2016-02-23,0000038725,True,59
941000,176102,2016-02-25,0000035214,True,64
943199,247812,2016-02-25,0000002098,True,40
944035,253076,2016-02-29,0000009326,True,56
952700,273673,2016-03-15,0000039020,True,105
954223,261326,2016-03-17,0000020740,True,82
954410,251258,2016-03-16,0000006955,True,53
962204,256523,2016-04-22,0000014195,True,63
965319,176102,2016-04-27,0000035214,True,56
967992,252551,2016-04-29,0000039677,True,21
969660,273729,2016-05-02,0000038725,True,46
971397,28606,2016-05-03,0000037785,True,62
971670,258010,2016-05-03,0000026058,True,106
975813,247371,2016-05-06,0000002034,True,69
980776,253076,2016-05-10,0000009326,True,75
980812,251335,2016-05-05,0000007039,True,86
998975,265087,2016-06-09,0000025895,True,33
1000958,261326,2016-06-16,0000020740,True,51
1002346,266430,2016-04-28,0000027996,True,23
1010220,253478,2016-07-21,0000009092,True,66
1012828,260583,2016-07-26,0000019584,True,23
1012956,268053,2016-07-26,0000030554,True,68
1016678,176102,2016-07-28,0000035214,True,48
1016775,266430,2016-07-28,0000027996,True,35
1017713,258010,2016-07-29,0000026058,True,78
1024341,28606,2016-08-03,0000037785,True,67
1028146,253076,2016-08-05,0000009326,True,44
1033388,265087,2016-08-10,0000025895,True,19
1034738,415118,2016-08-11,0000030831,True,27
1037290,256523,2016-08-18,0000014195,True,48
1048162,251050,2016-09-15,0000006845,True,34
1048220,261326,2016-09-15,0000020740,True,91
1051673,251258,2016-09-28,0000006955,True,57
1060868,173840,2016-10-25,0000024741,True,71
1065021,256523,2016-10-27,0000014195,True,24
1065162,260583,2016-10-27,0000019584,True,23
1066438,262125,2016-10-27,0000021535,True,24
1073591,248256,2016-11-03,0000003116,True,66
1073754,176102,2016-11-03,0000035214,True,20
1077096,253076,2016-11-04,0000009326,True,45
1077711,247371,2016-11-03,0000002034,True,81
1082181,286237,2016-11-09,0000016099,True,8
1086004,252257,2016-11-14,0000008411,True,26
1097072,273729,2016-10-25,0000038725,True,48
1103096,251050,2016-12-15,0000006845,True,33
1105008,251258,2016-12-21,0000006955,True,70
1118683,256523,2017-01-26,0000014195,True,25
1124292,247371,2017-02-03,0000002034,True,36
1126474,258010,2017-02-07,0000026058,True,74
1126565,253478,2017-02-07,0000009092,True,75
1129500,43182327,2017-02-09,0000036047,True,55
1135621,260583,2017-02-16,0000019584,True,27
1138057,273729,2017-02-21,0000038725,True,44
1147220,253076,2017-02-28,0000009326,True,79
1150013,176102,2017-03-02,0000035214,True,48
1150900,28606,2017-02-07,0000037785,True,62
1175029,256523,2017-04-21,0000014195,True,23
1183176,266430,2017-04-27,0000027996,True,39
1183254,260583,2017-04-27,0000019584,True,30
1183312,258010,2017-04-27,0000026058,True,54
1184046,252551,2017-04-28,0000039677,True,28
1192472,28606,2017-05-03,0000037785,True,63
1204818,253076,2017-05-09,0000009326,True,64
1233651,251050,2017-06-22,0000006845,True,52
1248722,174901,2017-07-20,0000029905,True,114
1250942,263465,2017-07-20,0000023795,True,40
1251481,263171,2017-07-25,0000023111,True,26
1251511,268053,2017-07-25,0000030554,True,64
1253274,260583,2017-07-26,0000019584,True,9
1259421,258010,2017-07-27,0000026058,True,26
1266924,28606,2017-08-02,0000037785,True,82
1270673,253076,2017-08-04,0000009326,True,58
1273934,171604,2017-08-04,0000015615,True,62
1281498,265087,2017-08-10,0000025895,True,34
1316373,174901,2017-10-19,0000029905,True,111
1318671,273729,2017-10-24,0000038725,True,50
1321641,256523,2017-10-26,0000014195,True,34
1322607,43182327,2017-10-26,0000036047,True,51
1325031,258010,2017-10-26,0000026058,True,55
1325749,260583,2017-10-27,0000019584,True,13
1332798,247371,2017-11-03,0000002034,True,75
1333332,266430,2017-10-26,0000027996,True,28
1336803,253076,2017-11-07,0000009326,True,45
1351222,265087,2017-11-09,0000025895,True,34
1370531,268454,2018-01-16,0000031667,True,45
1374712,266430,2018-01-25,0000027996,True,43
1375069,256523,2018-01-25,0000014195,True,60
1379606,270315,2018-02-01,0000033619,True,72
1379935,247371,2018-02-02,0000002034,True,42
1384898,43182327,2018-02-08,0000036047,True,52
1385006,345588,2018-02-08,0000004457,True,57
1390089,28606,2018-02-13,0000037785,True,56
1393624,260583,2018-02-15,0000019584,True,30
1395042,258458,2018-02-16,0000016732,True,50
1400416,265386,2018-02-22,0000026324,True,47
1400790,258010,2018-02-06,0000026058,True,79
1419037,251995,2018-03-14,0000008146,True,60
1422685,257888,2017-11-08,0000020629,True,13
1424051,262639,2018-03-22,0000022444,True,70
1424991,253076,2018-02-27,0000009326,True,40
1426620,260619,2018-03-01,0000020212,True,33
1431610,251050,2018-04-12,0000006845,True,52
1432334,263465,2018-04-18,0000023795,True,30
1434152,260583,2018-04-20,0000019584,True,19
1439659,258010,2018-04-26,0000026058,True,72
1439849,43182327,2018-04-26,0000036047,True,50
1439854,266430,2018-04-26,0000027996,True,23
1446395,273729,2018-05-01,0000038725,True,27
1452110,253076,2018-05-04,0000009326,True,41
1470448,258458,2018-05-18,0000016732,True,42
1481702,345588,2018-05-31,0000004457,True,68
1482276,256893,2018-05-31,0000014707,True,68
1490466,265087,2018-06-13,0000025895,True,35
1501353,260619,2018-04-26,0000020212,True,29
1504069,174901,2018-07-19,0000029905,True,71
1504204,263171,2018-07-19,0000023111,True,21
1504906,268454,2018-07-19,0000031667,True,24
1510716,258010,2018-07-26,0000026058,True,61
1510954,260583,2018-07-26,0000019584,True,21
1512048,43182327,2018-07-26,0000036047,True,65
1533074,260619,2018-08-02,0000020212,True,23
1534348,270315,2018-08-02,0000033619,True,25
1534498,258937,2018-08-02,0000017843,True,33
1536225,253076,2018-08-03,0000009326,True,41
1543138,251148,2018-08-10,0000006176,True,14
1547049,256523,2018-08-16,0000014195,True,37
1557998,251050,2018-06-28,0000006845,True,47
1564998,273729,2018-02-20,0000038725,True,48
1571540,268454,2018-10-16,0000031667,True,21
1573739,247812,2018-10-19,0000002098,True,22
1577046,258937,2018-10-24,0000017843,True,50
1581683,258010,2018-10-25,0000026058,True,50
1581720,253018,2018-10-25,0000008858,True,40
1584157,266430,2018-10-25,0000027996,True,38
1586412,262639,2018-10-25,0000022444,True,46
1591806,260583,2018-10-30,0000019584,True,26
1602149,43182327,2018-10-25,0000036047,True,53
1603286,253076,2018-11-06,0000009326,True,53
1604212,345588,2018-11-08,0000004457,True,15
1605161,262125,2018-11-05,0000021535,True,53
1611455,28606,2018-11-06,0000037785,True,66
1617078,273729,2018-10-26,0000038725,True,33
1640961,266430,2019-01-24,0000027996,True,38
1652848,265087,2019-02-07,0000025895,True,34
1656004,28606,2019-02-12,0000037785,True,65
1658233,258010,2019-02-05,0000026058,True,40
1662984,273729,2019-02-19,0000038725,True,37
1667125,260583,2019-02-21,0000019584,True,34
1675300,253076,2019-02-28,0000009326,True,34
1701725,114205175,2019-04-17,0000025743,True,43
1708777,247812,2019-02-28,0000002098,True,42
1708860,266430,2019-04-25,0000027996,True,38
1708877,258010,2019-04-25,0000026058,True,61
1708885,249841,2019-04-25,0000004447,True,51
1724448,253076,2019-05-03,0000009326,True,53
1729114,262125,2019-05-06,0000021535,True,48
1762247,268454,2019-06-04,0000031667,True,11
1764081,262639,2019-06-20,0000022444,True,36
1770212,251148,2019-05-10,0000006176,True,39
1772725,268454,2019-07-16,0000031667,True,9
1775633,247812,2019-07-19,0000002098,True,35
1781463,266430,2019-07-25,0000027996,True,41
1803165,251335,2019-08-06,0000007039,True,73
1811650,258937,2019-08-01,0000017843,True,39
1813873,249841,2019-07-31,0000004447,True,60
1813968,265087,2019-08-14,0000025895,True,35
1816812,172131,2019-08-06,0000016040,True,30
1819159,32650,2019-08-22,0000006885,True,6
1819369,251995,2019-08-28,0000008146,True,17
1829357,253076,2019-08-01,0000009326,True,57
1835975,251148,2019-08-09,0000006176,True,19
1842404,258010,2019-10-24,0000026058,True,55
1846199,268799,2019-10-29,0000031462,True,65
1850327,273729,2019-10-29,0000038725,True,25
1862954,253076,2019-11-05,0000009326,True,28
1870779,172131,2019-11-05,0000016040,True,49
1870790,261171,2019-11-05,0000020520,True,6
1876354,175181,2019-11-08,0000031107,True,30
1887210,251148,2019-11-07,0000006176,True,38
1892726,268454,2020-01-16,0000031667,True,33
1894641,176787,2020-01-23,0000040211,True,35
1897893,258937,2020-01-30,0000017843,True,31
1898753,286237,2020-02-03,0000016099,True,4
1902154,256523,2020-01-30,0000014195,True,59
1915018,263465,2020-02-13,0000023795,True,24
1928258,247812,2020-02-27,0000002098,True,46
1931112,253076,2020-02-21,0000009326,True,67
1931595,263171,2020-02-25,0000023111,True,22
1937578,273729,2020-02-18,0000038725,True,36
1947133,258010,2020-02-04,0000026058,True,48
1949038,251335,2020-03-10,0000007039,True,89
2010276,273729,2015-02-24,0000038725,True,50
2018503,260583,2020-04-29,0000019584,True,23
2040638,253076,2020-05-01,0000009326,True,39
2049079,268454,2020-07-15,0000031667,True,27
2069801,247812,2020-07-17,0000002098,True,33
2079777,253076,2020-07-31,0000009326,True,49
2087254,266937,2017-11-09,0000029332,True,21
2089090,273729,2020-07-28,0000038725,True,44
2101181,260583,2020-07-30,0000019584,True,27
2127783,263465,2020-10-29,0000023795,True,33
2146318,268454,2020-10-13,0000031667,True,42
2156061,273729,2020-10-27,0000038725,True,30
2156725,253076,2020-10-28,0000009326,True,35
2158116,247812,2020-10-21,0000002098,True,35
2166185,43182327,2020-10-22,0000036047,True,63
2167786,258010,2020-10-29,0000026058,True,51
2184055,258937,2021-01-28,0000017843,True,27
2188151,172131,2021-02-02,0000016040,True,42
2188900,268363,2021-02-02,0000031791,True,69
2200570,258010,2021-02-09,0000026058,True,43
2202817,265087,2021-02-10,0000025895,True,32
2206529,43182327,2021-02-11,0000036047,True,55
2212210,273729,2021-02-16,0000038725,True,24
2221832,260583,2021-02-24,0000019584,True,47
2229562,247812,2021-03-03,0000002098,True,23
2239634,251148,2021-03-18,0000006176,True,40
2239692,262639,2021-03-18,0000022444,True,47
2252161,253076,2021-02-19,0000009326,True,50
2253210,247812,2021-04-19,0000002098,True,21
2259488,273729,2021-04-27,0000038725,True,41
2266107,258010,2021-04-29,0000026058,True,33
2267684,253076,2021-04-30,0000009326,True,28
2296647,268363,2021-05-04,0000031791,True,65
2304133,256893,2021-05-28,0000014707,True,30
2322691,262639,2021-06-17,0000022444,True,35
2338791,268454,2021-07-08,0000031667,True,48
2349626,43182327,2021-07-22,0000036047,True,35
2352090,273729,2021-07-27,0000038725,True,40
2353114,258010,2021-07-27,0000026058,True,57
2371195,172131,2021-08-10,0000016040,True,45
2371402,251148,2021-08-10,0000006176,True,35
2378442,253076,2021-07-30,0000009326,True,43
